"fips","PST045214","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN131207","AFN120207","BPS030214","POP060210","State","VoterProp"
30107,2102,6.8,23.1,23.9,50.2,95.4,0.4,0.8,0.6,0,2.8,1.7,93.9,94.7,0,18.5,80.4,19.2,223,13.2,1193,71.5,8.8,78400,817,2.5,17336,31867,11.2,0.0280685061845861,0.18220742150333,1.6,0.0723120837297812,0.150333016175071,0,0,0,0,0,0,0,0,9127,0.748810656517602,0,1.5,"MT",0.595135724351939
30109,1121,4.6,21.3,24.6,48.9,97.7,0.1,0.4,0.4,0.1,1.2,2.5,95.4,91.1,0.4,0.3,84,19.6,82,16.9,536,70.9,6.8,102700,409,2.22,27492,41875,13.3,0.0347903657448706,0.164139161462979,-20.7,0.0811775200713648,0,0,0,0,0,0,0,0,0,4767,0.942908117752007,0.00446030330062444,1.1,"MT",0.505538823908133
30111,155634,6.4,23.6,15.3,50.9,91.3,0.8,4.5,0.8,0.1,2.7,5.2,87.1,82.7,1.7,4,92.3,28.7,13513,19,67062,68.8,19.9,181500,61023,2.4,27761,51342,12.3,0.0354742536977781,0.441266047264737,3.1,0.0714882352185255,0.101044758857319,0.4,2,0.8,0,0,25,36.8811120963286,17.8142565249239,20284,2.32422863898634,0.00412506264697945,56.2,"MT",0.560921323871209
31001,31457,6.3,23.4,16.5,49.9,95.1,1,0.9,1.7,0.1,1.2,8.8,87.4,82.7,4.7,7.1,90.7,20.4,2511,14.8,13664,69.8,15.6,98000,12578,2.37,25571,49440,12.8,0.030931112312045,0.422481482658868,-0.7,0.0682836888450901,0.0906952347649172,0,0,0,0,0,22.5,0,15.8862892202054,10976,1.39069205582223,0.0038147312203961,55.7,"NE",0.507385812669307
31003,6398,6.6,23.4,22.4,50.5,98.5,0.3,0.2,0.4,0,0.6,3,95.7,90.8,1.5,3.5,90.8,16.7,587,17.2,3287,75.2,3.6,74300,2855,2.28,25186,43518,11,0.0342294467020944,0.218505783057205,-3,0.0973741794310722,0,0,0,0,0,0,0,0,21.3019693654267,8534,0.380118787120975,0.00171928727727415,7.8,"NE",0.643967558399859
31005,453,5.7,28,21.2,51.9,96.7,0.2,0.4,0.2,0,2.4,5.1,93.2,81.2,0,2.4,94.5,31.7,31,20.7,252,61.6,0.4,76400,177,2.86,17656,40568,6.9,0.022075055187638,0,0,0.0927152317880795,0,0,0,0,0,0,0,0,0,2519,0,0,0.6,"NE",0.787956831003189
31007,764,6,19,29.6,49.5,96.5,2.6,0.3,0,0,0.7,4.1,92.4,90.1,4.7,4,91.3,15.8,66,25.3,365,63.6,2,85000,330,2.47,25814,36875,15.4,0.0130890052356021,0,0,0.0510471204188482,0.0510471204188482,0,0,0,0,0,0,0,0,0,0,0,0.9,"NE",0.636675069484843
31009,504,8.3,23.4,21.8,48,98.8,0.2,0.2,0,0,0.8,0.2,98.6,88.1,1.2,0.7,99,16,46,22.4,323,58.2,0.8,57200,249,2.35,19141,42917,17.7,0.0158730158730159,0,0,0.0892857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"NE",0.769302499067512
31011,5353,5.6,23,21.6,49.8,98.3,0.4,0.3,0.3,0,0.7,1.7,96.9,89.8,1.1,2.5,93.1,13.8,514,17.2,2643,77,6.7,85000,2242,2.38,25590,45246,9.7,0.0356809265832244,0.26433775453017,-0.6,0.0969549785167196,0.131328227162339,0,0,0,0,0,0,0,17.3138427050252,14818,0.663366336633663,0,8,"NE",0.667425233089347
31013,11340,7.1,25.3,16.1,49.9,92.5,0.7,4.1,0.5,0,2.2,11.9,82.8,82,1.7,5.3,90.4,17.6,998,11.6,5434,65.9,20.2,90000,4860,2.28,25046,46373,23.9,0.0275132275132275,0.262962962962963,1.6,0.0613756613756614,0.108377425044092,0,0,0,0,0,24.6,0,7.93641975308642,7443,1.08950617283951,8.81834215167549e-05,10.5,"NE",0.522843874026382
